Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
Total Alpha,μg/l,,,,,,Total Alpha,,TOTAFA,Totaal Alfa
Total Beta,μg/l,,,,,,Total Beta,,TOTBTA,Totaal Beta
Toxicity,,,,,,,Toxicity,,TOXCTT,Toxiciteit
"1,3,5-trioxane",μg/l,,110-88-3,,,"1,3,5-trioxane",,,TOxC1ye,trioxymethyleen
diphenylphosphorylbenzene,μg/l,,791-28-6,,,diphenylphosphorylbenzene,,,TPPO,trifenylfosfineoxide
Transmission,,,,,,,Transmission,,TRANSMSE,Transmissie
Trichodesmium,,,,,,,Trichodesmium,,TRDE,Trichodesmium
Trichobilharzia,,,,,,,Trichobilharzia,,TRICBHZA,Trichobilharzia
Turbidity,,,,,,,Turbidity,,TROEBHD,Troebelheid
Turbidity characteristic,,,,,,,Turbidity characteristic,,TROEBHKRTRTK,Troebelheidkarakteristiek
Trophy,,,,,,,Trophy,,TROFE,Trofie
toluenesulfonamide,μg/l,,1333-07-9,,,,toluenesulfonamide,,TSA,tolueensulfonamide
Toluenesulfonamide,μg/l,,,,,Toluenesulfonamide,,,TZV,Totaal zuurstofverbruik
Wave period associated with H1 / 3,,,,,,,Wave period associated with H1 / 3,,T_H1/3,Golfperiode die hoort bij H1/3
Wave period associated with Hmax,,,,,,,Wave period associated with Hmax,,T_Hmax,Golfperiode die hoort bij Hmax
tantalum-182,μg/l,,13982-00-8,,,tantalum-182,,,Ta182,tantalum 182
"[2-[(1S,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] 3,3-dimethylbutanoate",μg/l,,5611-51-8,,,"[2-[(1S,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] 3,3-dimethylbutanoate",,,TacnlnHxactn,triamcinolonehexacetonide
"2,2,6,6-tetramethylpiperidin-4-one",μg/l,,826-36-8,,,"2,2,6,6-tetramethylpiperidin-4-one",,,TactnAe,triacetonamine
"1-(4-chlorophenoxy)-3,3-dimethyl-1-(1,2,4-triazol-1-yl)butan-2-one",μg/l,,43121-43-3,,,"1-(4-chlorophenoxy)-3,3-dimethyl-1-(1,2,4-triazol-1-yl)butan-2-one",,,Tadmfn,triadimefon
"1-(4-chlorophenoxy)-3,3-dimethyl-1-(1,2,4-triazol-1-yl)butan-2-ol",μg/l,,55219-65-3,,,"1-(4-chlorophenoxy)-3,3-dimethyl-1-(1,2,4-triazol-1-yl)butan-2-ol",,,Tadmnl,triadimenol
"S-(2,3,3-trichloroprop-2-enyl) N,N-di(propan-2-yl)carbamothioate",μg/l,,2303-17-5,,,"S-(2,3,3-trichloroprop-2-enyl) N,N-di(propan-2-yl)carbamothioate",,,Talt,triallaat
"2-[bis(dimethylamino)phosphoryl]-5-phenyl-1,2,4-triazol-3-amine",μg/l,,1031-47-6,,,"2-[bis(dimethylamino)phosphoryl]-5-phenyl-1,2,4-triazol-3-amine",,,Tamfs,triamifos
"(E)-1-cyclohexyl-4,4-dimethyl-2-(1,2,4-triazol-1-yl)pent-1-en-3-ol",μg/l,,76608-88-3,,,"(E)-1-cyclohexyl-4,4-dimethyl-2-(1,2,4-triazol-1-yl)pent-1-en-3-ol",,,Taptnl,triapentenol
"1-[2-(2-chloroethoxy)phenyl]sulfonyl-3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)urea",μg/l,,82097-50-5,,,"1-[2-(2-chloroethoxy)phenyl]sulfonyl-3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)urea",,,Tasfrn,triasulfuron
"7-chloro-3-imidazol-1-yl-1-oxido-1,2,4-benzotriazin-1-ium",μg/l,,72459-58-6,,,"7-chloro-3-imidazol-1-yl-1-oxido-1,2,4-benzotriazin-1-ium",,,TazO,triazoxide
"2,3,5-tris(aziridin-1-yl)cyclohexa-2,5-diene-1,4-dione",μg/l,,68-76-8,,,"2,3,5-tris(aziridin-1-yl)cyclohexa-2,5-diene-1,4-dione",,,Tazcn,triazichon
"diethoxy-[(1-phenyl-1,2,4-triazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane",μg/l,,24017-47-8,,,"diethoxy-[(1-phenyl-1,2,4-triazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane",,,Tazfs,triazofos
"ethyl 2-[[5-tert-butyl-2-(dimethylcarbamoyl)-1,2,4-triazol-3-yl]sulfanyl]acetate",μg/l,,112143-82-5,,,"ethyl 2-[[5-tert-butyl-2-(dimethylcarbamoyl)-1,2,4-triazol-3-yl]sulfanyl]acetate",,,Tazmt,triazamaat
terbium-160,μg/l,,13981-29-8,,,terbium-160,,,Tb160,terbium 160
"N,N-dibenzyl-1-phenylmethanamine",μg/l,,620-40-6,,,"N,N-dibenzyl-1-phenylmethanamine",,,TbenzAe,tribenzylamine
"methyl 2-[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-methylcarbamoyl]sulfamoyl]benzoate",μg/l,,101200-48-0,,,"methyl 2-[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-methylcarbamoyl]sulfamoyl]benzoate",,,TbnrC1y,tribenuronmethyl
technetium-96,μg/l,,14808-44-7,,,technetium-96,,,Tc96,technetium 96
technetium-97,μg/l,,15759-35-0,,,technetium-97,,,Tc97,technetium 97
technetium 97m (metastable),μg/l,,378784-44-2,,,,technetium 97m (metastable),,Tc97m,technetium 97m (metastabiel)
technetium-99,μg/l,,14133-76-7,,,technetium-99,,,Tc99,technetium 99
technetium 99m (metastable),μg/l,,378784-45-3,,,,technetium 99m (metastable),,Tc99m,technetium 99m (metastabiel)
"6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole",μg/l,,68786-66-3,,,"6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole",,,Tcbdzl,triclabendazool
tricyclohexyltin (cation),μg/l,,,,,,tricyclohexyltin (cation),,TccC6ySn,tricyclohexyltin (kation)
"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",μg/l,,101-20-2,,,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",,,Tccbn,triclocarban
"8-methyl-[1,2,4]triazolo[3,4-b][1,3]benzothiazole",μg/l,,41814-78-2,,,"8-methyl-[1,2,4]triazolo[3,4-b][1,3]benzothiazole",,,Tcczl,tricyclazool
"1,3-bis(3-chlorophenyl)-2-(trichloromethyl)imidazolidine",μg/l,,53720-80-2,,,"1,3-bis(3-chlorophenyl)-2-(trichloromethyl)imidazolidine",,,Tcfndne,trichlofenidine
"2-butoxyethyl 2-(3,5,6-trichloropyridin-2-yl)oxyacetate",μg/l,,64700-56-7,,,"2-butoxyethyl 2-(3,5,6-trichloropyridin-2-yl)oxyacetate",,,TcpC4OxC2yEs,triclopyr-butoxyethylester
"2-(3,5,6-trichloropyridin-2-yl)oxyacetic acid",μg/l,,55335-06-3,,,"2-(3,5,6-trichloropyridin-2-yl)oxyacetic acid",,,Tcpr,triclopyr
tris(4-methylphenyl) phosphate,μg/l,,1330-78-5,,,tris(4-methylphenyl) phosphate,,,TcsPO4,tricresylfosfaat
"5-chloro-2-(2,4-dichlorophenoxy)phenol",μg/l,,3380-34-5,,,"5-chloro-2-(2,4-dichlorophenoxy)phenol",,,Tcsn,triclosan
"(2E,4E,6R)-7-[4-(dimethylamino)phenyl]-N-hydroxy-4,6-dimethyl-7-oxohepta-2,4-dienamide",μg/l,,58880-19-6,,,"(2E,4E,6R)-7-[4-(dimethylamino)phenyl]-N-hydroxy-4,6-dimethyl-7-oxohepta-2,4-dienamide",,,TcstnA,trichostatin A
"2,6-dimethyl-4-tridecylmorpholine",μg/l,,24602-86-6,,,"2,6-dimethyl-4-tridecylmorpholine",,,Tdmf,tridemorf
tellurium,μg/l,,13494-80-9,,,tellurium,,,Te,tellurium
tellurium 123m (metastable),μg/l,,378784-49-7,,,,tellurium 123m (metastable),,Te123m,tellurium 123m (metastabiel)
tellurium 127m (metastable),μg/l,,378784-51-1,,,,tellurium 127m (metastable),,Te127m,tellurium 127m (metastabiel)
tellurium 129m (metastable),μg/l,,378784-52-2,,,,tellurium 129m (metastable),,Te129m,tellurium 129m (metastabiel)
tellurium-132,μg/l,,14234-28-7,,,tellurium-132,,,Te132,tellurium 132
tellurium-133,μg/l,,15759-52-1,,,tellurium-133,,,Te133,tellurium 133
"6-chloro-2-N,2-N,4-N-triethyl-1,3,5-triazine-2,4-diamine",μg/l,,1912-26-1,,,"6-chloro-2-N,2-N,4-N-triethyl-1,3,5-triazine-2,4-diamine",,,Tetzne,trietazine
4-tritylmorpholine,μg/l,,1420-06-0,,,4-tritylmorpholine,,,Tfmf,trifenmorf
2-chloro-N-[[4-(trifluoromethoxy)phenyl]carbamoyl]benzamide,μg/l,,64628-44-0,,,2-chloro-N-[[4-(trifluoromethoxy)phenyl]carbamoyl]benzamide,,,Tfmrn,triflumuron
N-[4-chloro-2-(trifluoromethyl)phenyl]-1-imidazol-1-yl-2-propoxyethanimine,μg/l,,68694-11-1,,,N-[4-chloro-2-(trifluoromethyl)phenyl]-1-imidazol-1-yl-2-propoxyethanimine,,,Tfmzl,triflumizool
"2,6-dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline",μg/l,,1582-09-8,,,"2,6-dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline",,,Tfrlne,trifluraline
"N-[2,2,2-trichloro-1-[4-(2,2,2-trichloro-1-formamidoethyl)piperazin-1-yl]ethyl]formamide",μg/l,,26644-46-2,,,"N-[2,2,2-trichloro-1-[4-(2,2,2-trichloro-1-formamidoethyl)piperazin-1-yl]ethyl]formamide",,,Tfrne,triforine
"methyl 2-[[4-(dimethylamino)-6-(2,2,2-trifluoroethoxy)-1,3,5-triazin-2-yl]carbamoylsulfamoyl]-3-methylbenzoate",μg/l,,126535-15-7,,,"methyl 2-[[4-(dimethylamino)-6-(2,2,2-trifluoroethoxy)-1,3,5-triazin-2-yl]carbamoylsulfamoyl]-3-methylbenzoate",,,TfsfrnC1y,triflusulfuron-methyl
methyl (2E)-2-methoxyimino-2-[2-[[(E)-1-[3-(trifluoromethyl)phenyl]ethylideneamino]oxymethyl]phenyl]acetate,μg/l,,141517-21-7,,,methyl (2E)-2-methoxyimino-2-[2-[[(E)-1-[3-(trifluoromethyl)phenyl]ethylideneamino]oxymethyl]phenyl]acetate,,,Tfxsbn,trifloxystrobin
triphenylphosphane,μg/l,,603-35-0,,,triphenylphosphane,,,Tfyffne,trifenylfosfine
Average wave direction in the spectral domain,,,,,,,Average wave direction in the spectral domain,,Th0,Gemiddelde golfrichting in het spectrale domein
Wave direction spectrum,,,,,,,Wave direction spectrum,,Th0_s,Golfrichtingspectrum
thorium-227,μg/l,,15623-47-9,,,thorium-227,,,Th227,thorium 227
thorium-228,μg/l,,14274-82-9,,,thorium-228,,,Th228,thorium 228
thorium-229,μg/l,,15594-54-4,,,thorium-229,,,Th229,thorium 229
thorium-230,μg/l,,14269-63-7,,,thorium-230,,,Th230,thorium 230
thorium-231,μg/l,,14932-40-2,,,thorium-231,,,Th231,thorium 231
thorium,μg/l,,7440-29-1,,,thorium,,,Th232,thorium 232
thorium-234,μg/l,,15065-10-8,,,thorium-234,,,Th234,thorium 234
Avg. direction swell relative to true north in spectral domain,,,,,,,Avg. direction swell relative to true north in spectral domain,,Th3,Gem. richting deining tov ware noorden in spectrale domein
dioxothorium,μg/l,,1314-20-1,,,dioxothorium,,,ThDO,thoriumdioxide
1-cyclohexyl-1-phenyl-3-piperidin-1-ylpropan-1-ol,μg/l,,144-11-6,,,1-cyclohexyl-1-phenyl-3-piperidin-1-ylpropan-1-ol,,,Thxfidl,trihexyfenidyl
tris(2-methylpropyl) phosphate,μg/l,,126-71-6,,,tris(2-methylpropyl) phosphate,,,TiC4yPO4,triisobutylfosfaat
dioxotitanium,μg/l,,13463-67-7,,,dioxotitanium,,,TiO2,titaandioxide
titanium(4+);tetrachloride,μg/l,,7550-45-0,,,titanium(4+);tetrachloride,,,TiT4Cl,titaantetrachloride
thallium-201,μg/l,,15064-65-0,,,thallium-201,,,Tl201,thallium 201
thallium-202,μg/l,,15720-57-7,,,thallium-202,,,Tl202,thallium 202
thallium-208,μg/l,,14913-50-9,,,thallium-208,,,Tl208,thallium 208
Wave period determined from the spectral moments m-1 and m0,,,,,,,Wave period determined from the spectral moments m-1 and m0,,Tm-10,Golfperiode bepaald uit de spectrale momenten m-1 en m0
Wave period determined from the spectral moments m0 and m1,,,,,,,Wave period determined from the spectral moments m0 and m1,,Tm01,Golfperiode bepaald uit de spectrale momenten m0 en m1
Wave period determined from the spectral moments m0 and m2,,,,,,,Wave period determined from the spectral moments m0 and m2,,Tm02,Golfperiode bepaald uit de spectrale momenten m0 en m2
Maximum wave period in the time domain,,,,,,,Maximum wave period in the time domain,,Tmax,Maximale golfperiode in het tijdsdomein
"(3,4,5-trimethylphenyl) N-methylcarbamate",μg/l,,2686-99-9,,,"(3,4,5-trimethylphenyl) N-methylcarbamate",,,Tmtcb,trimethacarb
"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",μg/l,,738-70-5,,,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",,,Tmtpm,trimethoprim
"4-[cyclopropyl(hydroxy)methylidene]-3,5-dioxocyclohexane-1-carboxylic acid",μg/l,,104273-73-6,,,"4-[cyclopropyl(hydroxy)methylidene]-3,5-dioxocyclohexane-1-carboxylic acid",,,Tnxpc,trinexapac
"ethyl 4-[cyclopropyl(hydroxy)methylidene]-3,5-dioxocyclohexane-1-carboxylate",μg/l,,95266-40-3,,,"ethyl 4-[cyclopropyl(hydroxy)methylidene]-3,5-dioxocyclohexane-1-carboxylate",,,TnxpcC2y,trinexapac-ethyl
Period where the energy spectrum is maximum,,,,,,,Period where the energy spectrum is maximum,,Tp,Periode waar het energiespectrum maximaal is
Peak period of the 1st sub-spectrum (with double-headed spectra),,,,,,,Peak period of the 1st sub-spectrum (with double-headed spectra),,Tp1,Piekperiode van 1e deelspectrum (bij dubbeltoppige spectra)
Peak period of the 2nd sub-spectrum (with double-top spectra),,,,,,,Peak period of the 2nd sub-spectrum (with double-top spectra),,Tp2,Piekperiode van 2e deelspectrum (bij dubbeltoppige spectra)
Block peak period,,,,,,,Block peak period,,Tpb,Blokpiekperiode
Block peak period 1st sub-spectrum (with double-headed spectra),,,,,,,Block peak period 1st sub-spectrum (with double-headed spectra),,Tpb1,Blokpiekperiode 1e deelspectrum (bij dubbeltoppige spectra)
Block peak period 2nd sub-spectrum (with double-headed spectra),,,,,,,Block peak period 2nd sub-spectrum (with double-headed spectra),,Tpb2,Blokpiekperiode 2e deelspectrum (bij dubbeltoppige spectra)
Equivalent block peak period,,,,,,,Equivalent block peak period,,Tpbeq,Equivalente blokpiekperiode
Equivalent peak period,,,,,,,Equivalent peak period,,Tpeq,Equivalente piekperiode
Characteristic peak period,,,,,,,Characteristic peak period,,Tpm,Karakteristieke piekperiode
Peak Period Defined . from smoothed energy spectrum around peak,,,,,,,Peak Period Defined . from smoothed energy spectrum around peak,,Tps,Piekperiode bep. uit gladgestreken energiespectrum rond piek
"(5E)-5-[(4-chlorophenyl)methylidene]-2,2-dimethyl-1-(1,2,4-triazol-1-ylmethyl)cyclopentan-1-ol",μg/l,,131983-72-7,,,"(5E)-5-[(4-chlorophenyl)methylidene]-2,2-dimethyl-1-(1,2,4-triazol-1-ylmethyl)cyclopentan-1-ol",,,Ttcnzl,triticonazool
"3-tert-butyl-2,2,4,4-tetramethylpentan-3-ol",μg/l,,41902-42-5,,,"3-tert-butyl-2,2,4,4-tetramethylpentan-3-ol",,,TttC4yC1ol,tri-tert-butylmethanol
uranium-231,μg/l,,15700-08-0,,,uranium-231,,,U231,uranium 231
uranium-234,μg/l,,13966-29-5,,,uranium-234,,,U234,uranium 234
uranium-235,μg/l,,15117-96-1,,,uranium-235,,,U235,uranium 235
uranium-237,μg/l,,14269-75-1,,,uranium-237,,,U237,uranium 237
uranium,μg/l,,7440-61-1,,,uranium,,,U238,uranium 238
Leaching,,,,,,,Leaching,,UITLGG,Uitloging
vanadium-48,μg/l,,14331-97-6,,,vanadium-48,,,V48,vanadium 48
Sailing depth,,,,,,,Sailing depth,,VAARDTE,Vaardiepte
Variant of its own character,,,,,,,Variant of its own character,,VARAEGKRTR,Variant-eigen karakter
Vegetation,,,,,,,Vegetation,,VEGTTE,Vegetatie
Field test sensory perceptions,,,,,,,Field test sensory perceptions,,VELDTZTLKWNM,Veldtest zintuiglijke waarnemingen
Calorific value (calorific value),,,,,,,Calorific value (calorific value),,VERBDWDE,Verbrandingswaarde (calorische bovenwaarde)
Residence time,,,,,,,Residence time,,VERBTD,Verblijftijd
Dilution factor,,,,,,,Dilution factor,,VERDNFTR,Verdunningsfactor
Dilution,,,,,,,Dilution,,VERDNG,Verdunning
Evaporation,,,,,,,Evaporation,,VERDPG,Verdamping
Evaporation deficit,,,,,,,Evaporation deficit,,VERDPTKT,Verdampingstekort
Power,,,,,,,Power,,VERMGN,Vermogen
Pollution,,,,,,,Pollution,,VERORNGG,Verontreiniging
displacement,,,,,,,displacement,,VERPTSG,verplaatsing
Pollution value,,,,,,,Pollution value,,VERVLWDE,Vervuilingswaarde
Saturation degree,,,,,,,Saturation degree,,VERZDGGD,Verzadigingsgraad
Acidification,,,,,,,Acidification,,VERZRG,Verzuring
hexadecanoic acid,μg/l,,,,,hexadecanoic acid,,,VET,Vet
Fish quality,,,,,,,Fish quality,,VIS,Vis-kwaliteit
Viscosity,,,,,,,Viscosity,,VISCSTT,Viscositeit
Fish stock,,,,,,,Fish stock,,VISSD,Visstand
Fishing,,,,,,,Fishing,,VISSN,Vissen
Fishing factor,,,,,,,Fishing factor,,VISVFTR,Visvangstfactor
Abundance of fish,,,,,,,Abundance of fish,,VIS_ABUN,Abundantie vissen
Age structure of fish,,,,,,,Age structure of fish,,VIS_LTOB,Leeftijdsopbouw vissen
Species composition of fish,,,,,,,Species composition of fish,,VIS_SRTS,Soortensamenstelling vissen
Fish Guild- diadromous type of salt waters (CA),,,,,,,Fish Guild- diadromous type of salt waters (CA),,VIS_gildeCA,Visgilde - diadrome soort zoute wateren (CA)
Fish Guild- diadromous type of rivers (Dr),,,,,,,Fish Guild- diadromous type of rivers (Dr),,VIS_gildeDr,Visgilde - diadrome soort rivieren (Dr)
Fish guild- estuary resident species (ER),,,,,,,Fish guild- estuary resident species (ER),,VIS_gildeER,Visgilde - estuarien residente soort (ER)
Fish guild- eurytope species (Eu),,,,,,,Fish guild- eurytope species (Eu),,VIS_gildeEu,Visgilde - eurytope soort (Eu)
Fish guild- exotic species (Ex),,,,,,,Fish guild- exotic species (Ex),,VIS_gildeEx,Visgilde - exote soort (Ex)
Fish Guild- Freshwater Species (FW),,,,,,,Fish Guild- Freshwater Species (FW),,VIS_gildeFW,Visgilde - zoetwater soort (FW)
Fish guild- habitat sensitive species (Hg),,,,,,,Fish guild- habitat sensitive species (Hg),,VIS_gildeHg,Visgilde - habitatgevoelige soort (Hg)
Fish guild- limnophilic species (Li),,,,,,,Fish guild- limnophilic species (Li),,VIS_gildeLi,Visgilde - limnofiele soort (Li)
Fish Guild- Marine Juvenile (MJ),,,,,,,Fish Guild- Marine Juvenile (MJ),,VIS_gildeMJ,Visgilde - mariene juveniel (MJ)
Fish Guild- Marine Juvenile / Seasonal Guest (MJ + MS),,,,,,,Fish Guild- Marine Juvenile / Seasonal Guest (MJ + MS),,VIS_gildeMJS,Visgilde - mariene juveniel/seizoensgast (MJ+MS)
Fish Guild- Marine Seasonal Guest (MS),,,,,,,Fish Guild- Marine Seasonal Guest (MS),,VIS_gildeMS,Visgilde - mariene seizoensgast (MS)
Fish guild- migratory species (Mi),,,,,,,Fish guild- migratory species (Mi),,VIS_gildeMi,Visgilde - migrerende soort (Mi)
Fish guild- oxygen tolerant species (O2),,,,,,,Fish guild- oxygen tolerant species (O2),,VIS_gildeO2,Visgilde - zuurstoftolerante soort (O2)
Fish guild- plant-loving species (Pm),,,,,,,Fish guild- plant-loving species (Pm),,VIS_gildePm,Visgilde - plantminnende soort (Pm)
Fish Guild- plant-loving and migratory species (PmM),,,,,,,Fish Guild- plant-loving and migratory species (PmM),,VIS_gildePmM,Visgilde - plantminnende en migrerende soort (PmM)
Fish guild- rheophilic species (Rh),,,,,,,Fish guild- rheophilic species (Rh),,VIS_gildeRh,Visgilde - rheofiele soort (Rh)
Fish guild- chloride tolerant type of agent (Z1),,,,,,,Fish guild- chloride tolerant type of agent (Z1),,VIS_gildeZ1,Visgilde - chloridetolerante soort middel (Z1)
Fish guild- chloride tolerant species (Z1 + Z2),,,,,,,Fish guild- chloride tolerant species (Z1 + Z2),,VIS_gildeZ12,Visgilde - chloridetolerante soort (Z1+Z2)
Fish guild- chloride tolerant species low (Z2),,,,,,,Fish guild- chloride tolerant species low (Z2),,VIS_gildeZ2,Visgilde - chloridetolerante soort laag (Z2)
Fish Guild- plant-loving species (Z3),,,,,,,Fish Guild- plant-loving species (Z3),,VIS_gildeZ3,Visgilde - plantminnende soort (Z3)
Fish group- perch and roach (BB),,,,,,,Fish group- perch and roach (BB),,VIS_groepBB,Visgroep - baars en blankvoorn (BB)
Fish group- bream and carp (BK),,,,,,,Fish group- bream and carp (BK),,VIS_groepBK,Visgroep - brasem en karper (BK)
Fish group- species in small rivers,,,,,,,Fish group- species in small rivers,,VIS_groepRkl,Visgroep - soorten in kleine rivieren
Vitality,,,,,,,Vitality,,VITLTT,Vitaliteit
Floodmark coverage,,,,,,,Floodmark coverage,,VLOEDMBDKG,Vloedmerkbedekking
Food strategy,,,,,,,Food strategy,,VOEDSSTGE,Voedselstrategie
Nutritional status,,,,,,,Nutritional status,,VOEDTSD,Voedingstoestand
Bird,,,,,,,Bird,,VOGL,Vogel
Volume,,,,,,,Volume,,VOLME,Volume
Volume fraction,,,,,,,Volume fraction,,VOLMFTE,Volumefractie
Preprocessing headspace,,,,,,,Preprocessing headspace,,VOORBWKHSCE,Voorbewerking headspace
Volatile organic acids,,,,,,,Volatile organic acids,,VOZ,Vluchtige organische zuren
Ratio VOZ / ALKLTT,,,,,,,Ratio VOZ / ALKLTT,,VOZ/ALKLTT,Verhouding VOZ/ALKLTT
Dirty,,,,,,,Dirty,,VUIL,Vuil
tungsten-181,μg/l,,15749-46-9,,,tungsten-181,,,W181,wolfraam 181
Warmth,,,,,,,Warmth,,WARMTE,Warmte
Water chemistry,,,,,,,Water chemistry,,WATCME,Waterchemie
water pressure,,,,,,,water pressure,,WATDK,waterdruk
Water depth,,,,,,,Water depth,,WATDTE,Waterdiepte
Water width,,,,,,,Water width,,WATERBTE,Waterbreedte
Water surface,,,,,,,Water surface,,WATEROPVTE,Wateroppervlakte
Water level,,,,,,,Water level,,WATHTE,Waterhoogte
Water setup,,,,,,,Water setup,,WATOZT,Wateropzet
Aquatic plants,,,,,,,Aquatic plants,,WATPTN,Waterplanten
oxidane,μg/l,,,,,oxidane,,,WATR,Water
Water level change,,,,,,,Water level change,,WATSWSLG,Waterstandswisseling
Resistance,,,,,,,Resistance,,WEERGSHD,Weergesteldheid
Toxic equivalent according to WHO,,,,,,,Toxic equivalent according to WHO,,WHO-TEQ,Toxisch equivalent volgens WHO
Wind force,,,,,,,Wind force,,WINDKT,Windkracht
Wind direction,,,,,,,Wind direction,,WINDRTG,Windrichting
Wind speed,,,,,,,Wind speed,,WINDSHD,Windsnelheid
Wobbe index,,,,,,,Wobbe index,,WOBBIDX,Wobbe index
Woronichinia,,,,,,,Woronichinia,,WORO,Woronichinia
"(3,5-dimethylphenyl) N-methylcarbamate",μg/l,,2655-14-3,,,"(3,5-dimethylphenyl) N-methylcarbamate",,,XMC,"3,5-xylylmethylcarbamaat"
X coordinate,,,,,,,X coordinate,,X_CODNT,X-coordinaat
yttrium-88,μg/l,,13982-36-0,,,yttrium-88,,,Y88,yttrium 88
yttrium-91,μg/l,,14234-24-3,,,yttrium-91,,,Y91,yttrium 91
Y coordinate,,,,,,,Y coordinate,,Y_CODNT,Y-coordinaat
ytterbium-175,μg/l,,14041-44-2,,,ytterbium-175,,,Yb175,ytterbium 175
dioxosilane,μg/l,,,,,dioxosilane,,,ZAND,Zand
Acreage of seagrass beds,,,,,,,Acreage of seagrass beds,,ZGV_AREA,Areaal zeegrasvelden
Density of sea grass species,,,,,,,Density of sea grass species,,ZGV_DSRT,Dichtheid soorten zeegras
Transparency,,,,,,,Transparency,,ZICHT,Doorzicht
Zooplankton,,,,,,,Zooplankton,,ZOOPT,Zooplankton
Salinity,,,,,,,Salinity,,ZOUTHHDG,Zouthuishouding
Acid character,,,,,,,Acid character,,ZUURKRTR,Zuurkarakter
Swimmers itching,,,,,,,Swimmers itching,,ZWEMMJK,Zwemmersjeuk
Swimming water quality (final verdict),,,,,,,Swimming water quality (final verdict),,ZWEMWTKLTT,Zwemwaterkwaliteit (eindoordeel)
zinc-65,μg/l,,13982-39-3,,,zinc-65,,,Zn65,zink 65
dichlorozinc,μg/l,,7646-85-7,,,dichlorozinc,,,ZnCl,zinkchloride
oxozinc,μg/l,,1314-13-2,,,oxozinc,,,ZnO,zinkoxide
zinc;1-oxidopyridin-1-ium-2-thiolate,μg/l,,13463-41-7,,,zinc;1-oxidopyridin-1-ium-2-thiolate,,,Znprton,zinkpyrithion
zirconium-95,μg/l,,13967-71-0,,,zirconium-95,,,Zr95,zirconium 95
prop-1-en-2-ylbenzene,μg/l,,98-83-9,,,prop-1-en-2-ylbenzene,,,aC1ysrn,alfa-methylstyreen
(2E)-2-benzylideneoctanal,μg/l,,101-86-0,,,(2E)-2-benzylideneoctanal,,,aC6ycinnAh,alfa-hexylcinnamaldehyde
"[(Z)-2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate",μg/l,,18708-87-7,,,"[(Z)-2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate",,,aClfvfs,alfa-chloorfenvinfos
diphenylmethanol,μg/l,,91-01-0,,,diphenylmethanol,,,aFyBenC1ol,alfa-fenylbenzeenmethanol
"(1R,2R,5S,6R,9R,10S)-1,2,5,6,9,10-hexabromocyclododecane",μg/l,,134237-50-6,,,"(1R,2R,5S,6R,9R,10S)-1,2,5,6,9,10-hexabromocyclododecane",,,aHBCD,alfa-hexabroomcyclododecaan
"1,2,3,4,5,6-hexachlorocyclohexane",μg/l,,319-84-6,,,"1,2,3,4,5,6-hexachlorocyclohexane",,,aHCH,alfa-hexachloorcyclohexaan
phenylmethanol,μg/l,,100-51-6,,,phenylmethanol,,,aHOxTol,alfa-hydroxytolueen
dichloromethylbenzene,μg/l,,98-87-3,,,dichloromethylbenzene,,,aaDClTol,"alfa,alfa-dichloortolueen"
