Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
Cs,μg/l,atoms,7440-46-2,Cs,,,Caesium,cesium,Cs,cesium
Ba,μg/l,atoms,7440-39-3,Ba,,,Barium,barium,Ba,barium
La,μg/l,atoms,7439-91-0,La,,,Lanthanum,lanthaan,La,lanthaan
Ce,μg/l,atoms,7440-45-1,Ce,,,Cerium,cerium,Ce,cerium
Pr,μg/l,atoms,7440-10-0,Pr,,,Praseodymium,praseodymium,Pr,praseodymium
Nd,μg/l,atoms,7440-00-8,Nd,,,Neodymium,neodymium,Nd,neodymium
Pm,μg/l,atoms,7440-12-2,Pm,,,Promethium,promethium,Pm,promethium
Sm,μg/l,atoms,7440-19-9,Sm,,,Samarium,samarium,Sm,samarium
Eu,μg/l,atoms,7440-53-1,Eu,,,Europium,europium,Eu,europium
Gd,μg/l,atoms,7440-54-2,Gd,,,Gadolinium,gadolinium,Gd,gadolinium
Tb,μg/l,atoms,7440-27-9,Tb,,,Terbium,terbium,Tb,terbium
Dy,μg/l,atoms,7429-91-6,Dy,,,Dysprosium,Dysprosium,Dy,Dysprosium
Ho,μg/l,atoms,7440-60-0,Ho,,,Holmium,holmium,Ho,holmium
Er,μg/l,atoms,7440-52-0,Er,,,Erbium,erbium,Er,erbium
Tm,μg/l,atoms,7440-30-4,Tm,,,Thulium,thulium,Tm,thulium
Yb,μg/l,atoms,7440-64-4,Yb,,,Ytterbium,ytterbium,Yb,ytterbium
Lu,μg/l,atoms,7439-94-3,Lu,,,Lutetium,lutetium,Lu,lutetium
Hf,μg/l,atoms,7440-58-6,Hf,,,Hafnium,waterstoffluoride,Hf,hafnium
Ta,μg/l,atoms,7440-25-7,Ta,,,Tantalum,tantalium,Ta,tantalium
W,μg/l,atoms,7440-33-7,W,,,Tungsten,wolfraam,W,wolfraam
Re,μg/l,atoms,7440-15-5,Re,,,Rhenium,renium,Re,renium
Os,μg/l,atoms,7440-04-2,Os,,,Osmium,,Os,osmium
Ir,μg/l,atoms,7439-88-5,Ir,,,Iridium,iridium,Ir,iridium
Pt,μg/l,atoms,7440-06-4,Pt,,,Platinum,platina,Pt,platina
Au,μg/l,atoms,7440-57-5,Au,,,Gold,goud,Au,goud
Hg,μg/l,atoms,7439-97-6,Hg,,,Mercury,kwik,Hg,kwik
Tl,μg/l,atoms,7440-28-0,Tl,,,Thallium,thallium,Tl,thallium
Pb,μg/l,atoms,7439-92-1,Pb,,,Lead,lood,Pb,lood
Bi,μg/l,atoms,7440-69-9,Bi,,,Bismuth,bismut,Bi,bismut
Po,μg/l,atoms,7440-08-6,Po,,,Polonium,polonium,Po,polonium
At,μg/l,atoms,7440-68-8,At,,,Astatine,astatium,At,astatium
Rn,μg/l,atoms,10043-92-2,Rn,,,Radon,radon,Rn,radon
Fr,μg/l,atoms,7440-73-5,Fr,,,Francium,francium,Fr,francium
Ra,μg/l,atoms,7440-14-4,Ra,,,Radium,radium,Ra,radium
Ac,μg/l,atoms,7440-34-8,Ac,,,Actinium,actinium,Ac,actinium
Th,μg/l,atoms,7440-29-1,Th,,,Thorium,thorium,Th,thorium
Pa,μg/l,atoms,7440-13-3,Pa,,,Protactinium,protactinium,Pa,protactinium
U,μg/l,atoms,7440-61-1,U,,,Uranium,uranium,U,uranium
Np,μg/l,atoms,7439-99-8,Np,,,Neptunium,neptunium,Np,neptunium
Pu,μg/l,atoms,7440-07-5,Pu,,,Plutonium,plutonium,Pu,plutonium
Am,μg/l,atoms,7440-35-9,Am,,,Americium,americium,Am,americium
Cm,μg/l,atoms,7440-51-9,Cm,,,Curium,curium,Cm,curium
Bk,μg/l,atoms,7440-40-6,Bk,,,Berkelium,berkelium,Bk,berkelium
Cf,μg/l,atoms,7440-71-3,Cf,,,Californium,californium,Cf,californium
Es,μg/l,atoms,7429-92-7,Es,,,Einsteinium,einsteinium,Es,einsteinium
Fm,μg/l,atoms,7440-72-4,Fm,,,Fermium,fermium,Fm,fermium
Md,μg/l,atoms,7440-11-1,Md,,,Mendelevium,mendelevium,Md,mendelevium
No,μg/l,atoms,10028-14-5,No,,,Nobelium,nobelium,No,nobelium
Lr,μg/l,atoms,22537-19-5,Lr,,,Lawrencium,lawrencium,Lr,lawrencium
Rf,μg/l,atoms,53850-36-5,Rf,,,Rutherfordium,rutherfordium,Rf,rutherfordium
Db,μg/l,atoms,53850-35-4,Db,,,Dubnium,dubnium,Db,dubnium
Sg,μg/l,atoms,54038-81-2,Sg,,,Seaborgium,seaborgium,Sg,seaborgium
Bh,μg/l,atoms,54037-14-8,Bh,,,Bohrium,bohrium,Bh,bohrium
Hs,μg/l,atoms,54037-57-9,Hs,,,Hassium,hassium,Hs,hassium
Mt,μg/l,atoms,54038-01-6,Mt,,,Meitnerium,meitnerium,Mt,meitnerium
Ds,μg/l,atoms,54083-77-1,Ds,,,Darmstadtium,,Ds,damstadtium
Rg,μg/l,atoms,54386-24-2,Rg,,,Roentgenium,roentgenium,Rg,roentgenium
Cn,μg/l,atoms,54084-26-3,Cn,,,Copernicium,cyanide,Cn,copernicium
Nh,μg/l,atoms,,Nh,,,Nihonium,,,
Fl,μg/l,atoms,54085-16-4,Fl,,,Flerovium,flerovium,Fl,flerovium
Mc,μg/l,atoms,,Mc,,,Moscovium,,,
Lv,μg/l,atoms,54100-71-9,Lv,,,Livermorium,livermorium,Lv,livermorium
Ts,μg/l,atoms,,Ts,,,Tennessine,,,
Og,μg/l,atoms,,Og,,,Oganesson,,,
Aeromonas,1/L,,,,Aeromonas,,Aeromonas,Aeromonas,,
Aeromonas_counts,1,,,,Aeromonas_counts,,Aeromonas colony count,Aeromonas aantal kolonies,,
Aeromonas_volume,L,,,,Aeromonas_volume,,Aeromonas analysis volume,Aeromonas geanalyseerd volume,,
C_perfringens,1/L,,,,C_perfringens,,Clostridium perfringens,Clostridium perfringens,CLOSTR,Clostridia
C_perfringens_counts,1,,,,C_perfringens_counts,,Clostridium perfringens colony counts,Clostridium perfringens aantal kolonies | Clostridium perfringens aantal positief bevestigde kolonies,,
C_perfringens_volume,L,,,,C_perfringens_volume,,Clostridium perfringens analysis volume,Clostridium perfringens geanalyseerd volume,,
coligroup,1/L,,,,coligroup,,Bacteria coligroup,Bacteriën coligroep | Bacteriën coligroep (ISO 9308-1),TOTCLS,Totaal Coli's (incubatie bij 37 C)
coligroup_positive_counts,1,,,,coligroup_positive_counts,,Bacteria coligroup number of positive counts,Bacteriën coligroep aantal positief bevestigd,,
coligroup_counts,1,,,,coligroup_counts,,Bacteria coligroup number,Bacteriën coligroep aantal kolonies,,
coligroup_E_coli_volume,L,,,,coligroup_E_coli_volume,,Bacteria coligroup volume | Bacteria coligroup analysis volume,Bacteriën coligroep Escherichia coli volume | Bacteriën coligroep Escherichia coli geanalyseerd volume,,
coligroup_volume,L,,,,coligroup_volume,,Bacteria coligroup volume | Bacteria coligroup analysis volume,Bacteriën coligroep volume | Bacteriën coligroep geanalyseerd volume,,
colony_number,1/L,,,,colony_number,,bacterial count | colony count,Koloniegetal | Koloniegetal 22 °C,,
colony_number_counts,1,,,,colony_number_counts,,bacterial count number | colony count number,aantal kolonies | koloniegetal aantal,,
colony_number_volume,L,,,,colony_number_volume,,bacterial count volume | colony count volume,koloniegetal volume | koloniegetal geanalyseerd volume,,
E_coli,1/L,,,,E_coli,,Escherichia coli,Escherichia coli | E.coli  (ISO 9308-1),,
E_coli_counts,1,,,,E_coli_counts,,E. coli number of positive counts,E. coli aantal positief bevestigd | Escherichia coli aantal kolonies,E_COLI,Escherichia coli
E_coli_volume,L,,,,E_coli_volume,,E.Coli analysis volume | Escherichia coli analysis volume,E.Coli geanalyseerd volume | Escherichia coli geanalyseerd volume,,
Enterococcus,1/L,,,,Enterococcus,,Enterococcus,Enterococcen | Enterococcen ISO 7899-2 | Enterokokken,,
Enterococcus_counts,1,,,,Enterococcus_counts,,Enterococcus colony count,Enterococcus aantal kolonies | Enterokokken aantal kolonies | Enterokokken Aantal positief bevestigd,,
Enterococcus_volume,L,,,,Enterococcus_volume,,Enterococcus analysis volume,Enterococcus geanalyseerd volume | Enterokokken geanalyseerd volume,,
f_specific_phage,1/L,,,,f_specific_phage,,F specific phages,F.specifieke fagen,,
f_specific_phage_counts,1,,,,f_specific_phage_counts,,,,,
f_specific_phage_volume,L,,,,f_specific_phage_volume,,F specific phages volume,F.specifieke fagen volume,,
hygienic_suspect_colonies,1/L,,,,hygienic_suspect_colonies,,Hygienic suspect colonies,Hygiënisch verdachte koloniën,,
hygienic_suspect_colonies_counts,1,,,,hygienic_suspect_colonies_counts,,Hygienic suspect colonies count,Hygiënisch verdachte koloniën aantal,,
hygienic_suspect_colonies_volume,L,,,,hygienic_suspect_colonies_volume,,Hygienic suspect colonies count volume,Hygiënisch verdachte koloniën volume,,
i_enterococcus,1/L,,,,i_enterococcus,,Intestinal enterococcus,Intestinale enterokokken,INTTNLETRCCN,Intestinale enterococcen
i_enterococcus_counts,1,,,,i_enterococcus_counts,,Intestinal enterococcus volume,Intestinale enterokokken aantal,,
i_enterococcus_volume,L,,,,i_enterococcus_volume,,,,,
somatic_coliphages,1/L,,,,somatic_coliphages,,Somatic coliphages,Somatische colifagen,,
